"SARE extensions", "SARE - rozszerzenia"
"SAREhub Integration","Integracja z SAREhub"
"General Options","Ustawienia"
"Version","Wersja"
"Documentation","Dokumentacja"
"More info","Więcej informacji"
"Enabled","Włączone"
"Basic tracking code", "Podstawowy kod śledzący"
"Do not change, unless you have to", "Nie zmieniać, chyba, że polecił konsultant"
"Domain", "Identyfikator domeny"
"Debug mode", "Tryb developerski"
"Tracking options","Opcje śledzenia"
"Login page visit","Wizyta na stronie logowania"
"Category page visit","Wizyta na stronie kategorii"
"Product page visit", "Wizyta na stronie produktu",
"Adding product to cart","Dodanie produktu do koszyka",
"Removing product from cart", "Usunięcie produktu z koszyka",
"Checkout page visit", "Wizyta na stronie procesu zakupowego",
"Order success page visit", "Wizyta na stronie po złożeniu zamówienia"
"Tracked events", "Śledzone zdarzenia"
"Tracking Options", "Opcje śledzenia"
"Agree to SAREhub","Zgoda na wysyłanie danych do SAREhub"
"Should be consulted with SAREhub client service","Wymagana konsultacja z Client Service"
"Page before order is placed","Strona z podsumowaniem zamówienia"
"No","Nie"
"Yes","Tak"
"Documentation","Dokumentacja"
"More info","Dodatkowe informacje"
"Version","Wersja"
"SAREhub terms and conditions","Regulamin"
